session_id,project_id,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
27329,263,1448,22,female,admin,34.1,native,92819901,1,NULL,2020-02-19 11:39:25,2020-02-19 11:39:27
27329,263,1448,22,female,admin,34.1,employment,92819902,2,NULL,2020-02-19 11:39:25,2020-02-19 11:39:27
27329,263,1448,22,female,admin,34.1,accom,92819904,3,NULL,2020-02-19 11:39:25,2020-02-19 11:39:27
27329,263,1448,22,female,admin,34.1,year,92819905,4,NULL,2020-02-19 11:39:25,2020-02-19 11:39:27
27329,263,1448,22,female,admin,34.1,mature,92819906,5,NULL,2020-02-19 11:39:25,2020-02-19 11:39:27
27329,263,1448,22,female,admin,34.1,course,92819903,6,,2020-02-19 11:39:25,2020-02-19 11:39:27
27332,263,1448,22,female,admin,34.1,native,92819901,1,1,2020-02-19 11:43:13,2020-02-19 11:43:38
27332,263,1448,22,female,admin,34.1,employment,92819902,2,8,2020-02-19 11:43:13,2020-02-19 11:43:38
27332,263,1448,22,female,admin,34.1,accom,92819904,3,4,2020-02-19 11:43:13,2020-02-19 11:43:38
27332,263,1448,22,female,admin,34.1,year,92819905,4,6,2020-02-19 11:43:13,2020-02-19 11:43:38
27332,263,1448,22,female,admin,34.1,mature,92819906,5,1,2020-02-19 11:43:13,2020-02-19 11:43:38
27332,263,1448,22,female,admin,34.1,course,92819903,6,,2020-02-19 11:43:13,2020-02-19 11:43:38
27341,263,1448,22,female,admin,34.1,native,92819901,1,1,2020-02-19 12:17:22,2020-02-19 12:17:26
27341,263,1448,22,female,admin,34.1,employment,92819902,2,NULL,2020-02-19 12:17:22,2020-02-19 12:17:26
27341,263,1448,22,female,admin,34.1,accom,92819904,3,NULL,2020-02-19 12:17:22,2020-02-19 12:17:26
27341,263,1448,22,female,admin,34.1,year,92819905,4,NULL,2020-02-19 12:17:22,2020-02-19 12:17:26
27341,263,1448,22,female,admin,34.1,mature,92819906,5,NULL,2020-02-19 12:17:22,2020-02-19 12:17:26
27341,263,1448,22,female,admin,34.1,course,92819903,6,,2020-02-19 12:17:22,2020-02-19 12:17:26
19879,263,1448,167,female,admin,34.5,native,92819901,1,NULL,2019-12-28 15:56:29,2019-12-28 15:56:50
19879,263,1448,167,female,admin,34.5,employment,92819902,2,NULL,2019-12-28 15:56:29,2019-12-28 15:56:50
19879,263,1448,167,female,admin,34.5,accom,92819904,3,NULL,2019-12-28 15:56:29,2019-12-28 15:56:50
19879,263,1448,167,female,admin,34.5,year,92819905,4,NULL,2019-12-28 15:56:29,2019-12-28 15:56:50
19879,263,1448,167,female,admin,34.5,mature,92819906,5,NULL,2019-12-28 15:56:29,2019-12-28 15:56:50
19879,263,1448,167,female,admin,34.5,course,92819903,6,,2019-12-28 15:56:29,2019-12-28 15:56:50
31299,263,1448,15917,female,registered,30.2,native,92819901,1,1,2020-02-29 14:53:34,2020-02-29 14:54:10
